,1,2,3,4+
1,36.999810,0.000000,0.000000,0.000000
2,7.414635,298.585325,0.000000,0.000000
3,11.099866,446.988524,2282.911619,0.000000
4,34.236994,1378.714329,7041.529684,1262.519060
5,49.525079,1994.361285,10185.833203,1826.280530
6,16.570607,667.293762,3408.080076,611.055587
7,7.159573,288.314039,1472.510890,264.015512
8,2.610848,105.138141,536.973705,96.277310
9,0.880853,35.471708,181.165218,32.482223
10,0.274826,11.067173,56.523548,10.134454
11,0.081038,3.263397,16.667200,2.988365
12,0.066945,2.695850,13.768557,2.468649
13,0.024664,0.993208,5.072626,0.909502
14,0.010570,0.425660,2.173983,0.389787
15,0.003523,0.141887,0.724661,0.129929
17,0.003523,0.141887,0.724661,0.129929
19,0.003523,0.141887,0.724661,0.129929
20,0.003523,0.141887,0.724661,0.129929
