,1,2,3,4+
1,16.999926,0.000000,0.000000,0.000000
2,2.132441,155.867551,0.000000,0.000000
3,6.133312,448.305213,1991.561481,0.000000
4,19.164108,1400.771635,6222.820415,703.243870
5,24.798990,1812.644818,8052.535404,910.020824
6,5.593550,408.852109,1816.294097,205.260253
7,1.853036,135.444849,601.703340,67.998778
8,0.601605,43.973421,195.348544,22.076431
9,0.192881,14.098349,62.630831,7.077940
10,0.073478,5.370799,23.859364,2.696358
11,0.043628,3.188912,14.166497,1.600963
12,0.009185,0.671350,2.982421,0.337045
13,0.006889,0.503512,2.236815,0.252784
14,0.004592,0.335675,1.491210,0.168522
19,0.002296,0.167837,0.745605,0.084261
50,0.002296,0.167837,0.745605,0.084261
