,1,2,3,4+
1,660.003597,0.000000,0.000000,0.000000
2,2756.846877,3252.172516,0.000000,0.000000
3,2452.560598,2893.214795,893.225016,0.000000
4,627.309764,740.019183,228.466842,234.187294
5,169.682149,200.169123,61.798408,63.345744
6,47.305326,55.804725,17.228647,17.660025
7,14.397273,16.984047,5.243501,5.374790
8,4.799091,5.661349,1.747834,1.791597
9,1.713961,2.021910,0.624226,0.639856
10,0.685584,0.808764,0.249691,0.255942
11,0.685584,0.808764,0.249691,0.255942
43,0.342792,0.404382,0.124845,0.127971
61,0.342792,0.404382,0.124845,0.127971
63,0.342792,0.404382,0.124845,0.127971
