,1,2,3,4,5,6+
1,7.000008,0.000000,0.000000,0.000000,0.000000,0.000000
2,6.962767,227.037597,0.000000,0.000000,0.000000,0.000000
3,34.489303,1124.605856,2156.908275,0.000000,0.000000,0.000000
4,73.405373,2393.556971,4590.659749,516.383596,0.000000,0.000000
5,52.974291,1727.352896,3312.931136,372.657393,152.085525,0.000000
6,10.321944,336.571563,645.518592,72.611614,29.633587,77.336394
7,3.936782,128.368164,246.200350,27.694020,11.302230,29.496048
8,1.831881,59.732837,114.563027,12.886703,5.259203,13.725230
9,0.801448,26.133116,50.121324,5.637932,2.300901,6.004788
10,0.308249,10.051199,19.277432,2.168436,0.884962,2.309534
11,0.193757,6.317896,12.117243,1.363017,0.556262,1.451707
12,0.088071,2.871771,5.507838,0.619553,0.252846,0.659867
13,0.044036,1.435886,2.753919,0.309777,0.126423,0.329933
15,0.008807,0.287177,0.550784,0.061955,0.025285,0.065987
16,0.008807,0.287177,0.550784,0.061955,0.025285,0.065987
18,0.008807,0.287177,0.550784,0.061955,0.025285,0.065987
19,0.008807,0.287177,0.550784,0.061955,0.025285,0.065987
26,0.008807,0.287177,0.550784,0.061955,0.025285,0.065987
