,1,2,3,4,5,6+
1,4.000004,0.000000,0.000000,0.000000,0.000000,0.000000
2,1.651949,130.348181,0.000000,0.000000,0.000000,0.000000
3,17.522585,1382.631596,1114.848033,0.000000,0.000000,0.000000
4,55.768728,4400.469666,3548.201102,629.566396,0.000000,0.000000
5,32.848906,2591.965447,2089.962062,370.827314,180.396378,0.000000
6,6.568879,518.321874,417.934989,74.155274,36.074319,65.940232
7,2.888193,227.894872,183.756939,32.604464,15.861095,28.992488
8,1.766964,139.423489,112.420404,19.947040,9.703637,17.737274
9,0.839455,66.237737,53.409029,9.476501,4.610034,8.426678
10,0.158498,12.506426,10.084222,1.789269,0.870426,1.591051
11,0.082184,6.484813,5.228856,0.927769,0.451332,0.824989
12,0.046962,3.705608,2.987918,0.530154,0.257904,0.471423
13,0.011741,0.926402,0.746979,0.132538,0.064476,0.117856
15,0.005870,0.463201,0.373490,0.066269,0.032238,0.058928
