,1,2,3,4+
1,4.999954,0.000000,0.000000,0.000000
2,0.087224,8.912775,0.000000,0.000000
3,0.018245,1.864308,38.117447,0.000000
4,0.097654,9.978615,204.021692,314.902044
5,0.225953,23.088515,472.065314,728.620229
6,0.263796,26.955464,551.128541,850.652212
7,0.215800,22.051041,450.853229,695.879941
8,0.101346,10.355878,211.735178,326.807603
9,0.038582,3.942402,80.605924,124.413095
10,0.012184,1.244969,25.454502,39.288346
11,0.004430,0.452716,9.256183,14.286671
12,0.000738,0.075453,1.542697,2.381112
13,0.001292,0.132042,2.699720,4.166946
14,0.000369,0.037726,0.771349,1.190556
15,0.000923,0.094316,1.928371,2.976390
19,0.000369,0.037726,0.771349,1.190556
71,0.000185,0.018863,0.385674,0.595278
