,1,2,3,4,5,6+
1,6.999983,0.000000,0.000000,0.000000,0.000000,0.000000
2,4.239515,146.760460,0.000000,0.000000,0.000000,0.000000
3,2.303244,79.732033,651.964723,0.000000,0.000000,0.000000
4,12.236371,423.589797,3463.671912,315.501929,0.000000,0.000000
5,28.907852,1000.711043,8182.762568,745.358520,134.260038,0.000000
6,7.938901,274.823100,2247.214308,204.696191,36.871542,86.455966
7,2.766671,95.774600,783.143965,71.335692,12.849565,30.129511
8,0.838890,29.040090,237.459315,21.629898,3.896153,9.135655
9,0.258334,8.942809,73.124888,6.660863,1.199809,2.813298
10,0.183334,6.346510,51.895082,4.727064,0.851477,1.996534
11,0.111111,3.846369,31.451565,2.864887,0.516047,1.210021
12,0.086111,2.980936,24.374963,2.220288,0.399936,0.937766
13,0.022222,0.769274,6.290313,0.572977,0.103209,0.242004
14,0.030556,1.057752,8.649180,0.787844,0.141913,0.332756
15,0.030556,1.057752,8.649180,0.787844,0.141913,0.332756
16,0.005556,0.192318,1.572578,0.143244,0.025802,0.060501
17,0.011111,0.384637,3.145156,0.286489,0.051605,0.121002
18,0.008333,0.288478,2.358867,0.214867,0.038704,0.090752
21,0.008333,0.288478,2.358867,0.214867,0.038704,0.090752
24,0.002778,0.096159,0.786289,0.071622,0.012901,0.030251
