,1,2,3,4,5,6+
1,16.000101,0.000000,0.000000,0.000000,0.000000,0.000000
2,152.428715,905.577061,0.000000,0.000000,0.000000,0.000000
3,240.722568,1430.129727,1562.148032,0.000000,0.000000,0.000000
4,215.631627,1281.064763,1399.322565,231.978632,0.000000,0.000000
5,154.557662,918.225112,1002.988417,166.274658,40.951843,0.000000
6,55.852646,331.819860,362.450854,60.086827,14.798806,4.990097
7,22.610228,134.327076,146.727093,24.324306,5.990842,2.020088
8,7.873204,46.774607,51.092470,8.470071,2.086097,0.703423
9,2.691694,15.991319,17.467511,2.895751,0.713195,0.240487
10,1.278555,7.595876,8.297068,1.375482,0.338768,0.114231
11,0.471046,2.798481,3.056814,0.506756,0.124809,0.042085
12,0.134585,0.799566,0.873376,0.144788,0.035660,0.012024
14,0.067292,0.399783,0.436688,0.072394,0.017830,0.006012
17,0.067292,0.399783,0.436688,0.072394,0.017830,0.006012
