,1,2,3,4+
1,10.999897,0.000000,0.000000,0.000000
2,0.156309,15.843690,0.000000,0.000000
3,0.084319,8.546717,89.368964,0.000000
4,0.412439,41.805405,437.139264,581.642902
5,1.076383,109.103831,1140.846957,1517.972853
6,1.194556,121.082006,1266.097038,1684.626427
7,1.000581,101.420463,1060.505622,1411.073356
8,0.575704,58.354198,610.182139,811.887972
9,0.255782,25.926443,271.100505,360.717276
10,0.104956,10.638510,111.241848,148.014688
11,0.052089,5.279853,55.208917,73.459141
12,0.021769,2.206506,23.072383,30.699343
13,0.009329,0.945645,9.888164,13.156861
14,0.005831,0.591028,6.180103,8.223038
15,0.003499,0.354617,3.708062,4.933823
16,0.000389,0.039402,0.412007,0.548203
17,0.003110,0.315215,3.296055,4.385620
18,0.000389,0.039402,0.412007,0.548203
21,0.000389,0.039402,0.412007,0.548203
25,0.000389,0.039402,0.412007,0.548203
50,0.000389,0.039402,0.412007,0.548203
55,0.000389,0.039402,0.412007,0.548203
60,0.000389,0.039402,0.412007,0.548203
64,0.000389,0.039402,0.412007,0.548203
