,1,2,3,4+
1,37.999735,0.000000,0.000000,0.000000
2,38.178847,810.820818,0.000000,0.000000
3,100.264379,2129.358356,2480.377250,0.000000
4,281.787908,5984.452729,6970.973374,901.786305
5,185.546745,3940.537160,4590.123921,593.792383
6,50.621776,1075.076733,1252.300189,162.001359
7,19.909903,422.835298,492.538539,63.716283
8,7.095021,150.680046,175.519239,22.705702
9,2.092632,44.442148,51.768315,6.696907
10,0.856983,18.200118,21.200358,2.742543
11,0.558035,11.851240,13.804884,1.785842
12,0.139509,2.962810,3.451221,0.446460
13,0.159439,3.386068,3.944253,0.510241
14,0.059789,1.269776,1.479095,0.191340
15,0.059789,1.269776,1.479095,0.191340
16,0.019930,0.423259,0.493032,0.063780
20,0.019930,0.423259,0.493032,0.063780
21,0.019930,0.423259,0.493032,0.063780
25,0.019930,0.423259,0.493032,0.063780
28,0.019930,0.423259,0.493032,0.063780
66,0.019930,0.423259,0.493032,0.063780
