,1,2,3,4,5,6+
1,3.999963,0.000000,0.000000,0.000000,0.000000,0.000000
2,9.951316,221.047508,0.000000,0.000000,0.000000,0.000000
3,12.105753,268.903791,1072.990379,0.000000,0.000000,0.000000
4,27.866782,619.001801,2469.965094,341.166594,0.000000,0.000000
5,57.338585,1273.655784,5082.190918,701.983105,173.832340,0.000000
6,17.730613,393.848184,1571.548364,217.071814,53.753575,67.047615
7,7.272531,161.543934,644.598898,89.035918,22.047998,27.500788
8,3.223748,71.608761,285.736066,39.467603,9.773377,12.190475
9,1.359780,30.204643,120.523744,16.647472,4.122420,5.141954
10,0.748643,16.629523,66.355769,9.165462,2.269647,2.830963
11,0.259733,5.769426,23.021389,3.179854,0.787428,0.982171
12,0.145145,3.224091,12.864894,1.776977,0.440034,0.548860
13,0.053474,1.187823,4.739698,0.654676,0.162118,0.202212
14,0.099310,2.205957,8.802296,1.215827,0.301076,0.375536
15,0.045835,1.018134,4.062598,0.561151,0.138958,0.173324
16,0.022918,0.509067,2.031299,0.280575,0.069479,0.086662
19,0.007639,0.169689,0.677100,0.093525,0.023160,0.028887
32,0.007639,0.169689,0.677100,0.093525,0.023160,0.028887
