,1,2,3,4+
1,5.999976,0.000000,0.000000,0.000000
2,0.847345,27.152651,0.000000,0.000000
3,0.284690,9.122709,100.592600,0.000000
4,1.031716,33.060715,364.547766,585.359805
5,3.108780,99.618922,1098.459477,1763.812828
6,3.432764,110.000793,1212.936367,1947.630083
7,3.148622,100.895657,1112.537542,1786.418186
8,1.609436,51.573371,568.679696,913.137501
9,0.628047,20.125374,221.914748,356.331833
10,0.249541,7.996392,88.173138,141.580928
11,0.063958,2.049496,22.598998,36.287549
12,0.044037,1.411128,15.559966,24.984870
13,0.017824,0.571171,6.298081,10.112923
14,0.015727,0.503974,5.557131,8.923168
15,0.008388,0.268786,2.963803,4.759023
16,0.001048,0.033598,0.370475,0.594878
17,0.002097,0.067197,0.740951,1.189756
18,0.004194,0.134393,1.481901,2.379511
19,0.002097,0.067197,0.740951,1.189756
23,0.001048,0.033598,0.370475,0.594878
68,0.001048,0.033598,0.370475,0.594878
