,1,2,3,4+
1,15.999984,0.000000,0.000000,0.000000
2,2.508431,262.491568,0.000000,0.000000
3,29.198998,3055.491936,1845.309067,0.000000
4,127.345367,13325.893782,8047.932421,865.828440
5,53.979587,5648.625160,3411.384955,367.010303
6,11.056677,1157.011925,698.756416,75.174982
7,3.660888,383.088912,231.359617,24.890584
8,1.195624,125.114575,75.560684,8.129118
9,0.318833,33.363887,20.149516,2.167765
10,0.153723,16.086160,9.714945,1.045172
11,0.045548,4.766270,2.878502,0.309681
12,0.028467,2.978918,1.799064,0.193550
13,0.034161,3.574702,2.158877,0.232261
14,0.011387,1.191567,0.719626,0.077420
15,0.005693,0.595784,0.359813,0.038710
16,0.005693,0.595784,0.359813,0.038710
17,0.005693,0.595784,0.359813,0.038710
19,0.005693,0.595784,0.359813,0.038710
20,0.005693,0.595784,0.359813,0.038710
37,0.005693,0.595784,0.359813,0.038710
45,0.005693,0.595784,0.359813,0.038710
50,0.005693,0.595784,0.359813,0.038710
