,1,2,3,4,5,6+
1,21.999981,0.000000,0.000000,0.000000,0.000000,0.000000
2,28.147492,407.852468,0.000000,0.000000,0.000000,0.000000
3,68.063702,986.231698,1861.704624,0.000000,0.000000,0.000000
4,100.329559,1453.758579,2744.252771,677.659118,0.000000,0.000000
5,101.243527,1467.001823,2769.251976,683.832361,116.670331,0.000000
6,28.174292,408.240801,770.634111,190.298517,32.467301,41.184971
7,11.836650,171.511091,323.760626,79.948663,13.640239,17.302727
8,2.949586,42.739010,80.678214,19.922482,3.399024,4.311683
9,0.900198,13.043724,24.622572,6.080238,1.037364,1.315903
10,0.383063,5.550521,10.477690,2.587335,0.441432,0.559959
11,0.172378,2.497734,4.714961,1.164301,0.198644,0.251981
12,0.134072,1.942682,3.667192,0.905567,0.154501,0.195986
14,0.076613,1.110104,2.095538,0.517467,0.088286,0.111992
15,0.038306,0.555052,1.047769,0.258734,0.044143,0.055996
17,0.019153,0.277526,0.523885,0.129367,0.022072,0.027998
18,0.019153,0.277526,0.523885,0.129367,0.022072,0.027998
23,0.019153,0.277526,0.523885,0.129367,0.022072,0.027998
30,0.019153,0.277526,0.523885,0.129367,0.022072,0.027998
43,0.019153,0.277526,0.523885,0.129367,0.022072,0.027998
