,1,2,3,4,5,6+
1,6.999936,0.000000,0.000000,0.000000,0.000000,0.000000
2,1.422783,27.577201,0.000000,0.000000,0.000000,0.000000
3,0.705276,13.670076,100.624644,0.000000,0.000000,0.000000
4,1.966512,38.116081,280.570285,310.347127,0.000000,0.000000
5,3.878134,75.168239,553.309099,612.031629,131.612917,0.000000
6,3.833820,74.309310,546.986572,605.038095,130.109008,100.723218
7,3.112190,60.322274,444.028798,491.153443,105.618949,81.764364
8,1.626946,31.534409,232.122981,256.758124,55.213953,42.743597
9,0.763615,14.800828,108.948044,120.510668,25.914936,20.061914
10,0.372623,7.222397,53.163650,58.805893,12.645776,9.789663
11,0.183687,3.560337,26.207433,28.988820,6.233833,4.825890
12,0.125957,2.441374,17.970811,19.878048,4.274629,3.309182
13,0.062979,1.220687,8.985406,9.939024,2.137314,1.654591
14,0.060354,1.169825,8.611014,9.524898,2.048260,1.585650
15,0.031489,0.610343,4.492703,4.969512,1.068657,0.827295
16,0.015745,0.305172,2.246351,2.484756,0.534329,0.413648
17,0.010496,0.203448,1.497568,1.656504,0.356219,0.275765
18,0.005248,0.101724,0.748784,0.828252,0.178110,0.137883
19,0.007872,0.152586,1.123176,1.242378,0.267164,0.206824
20,0.002624,0.050862,0.374392,0.414126,0.089055,0.068941
21,0.005248,0.101724,0.748784,0.828252,0.178110,0.137883
25,0.005248,0.101724,0.748784,0.828252,0.178110,0.137883
33,0.002624,0.050862,0.374392,0.414126,0.089055,0.068941
34,0.002624,0.050862,0.374392,0.414126,0.089055,0.068941
36,0.002624,0.050862,0.374392,0.414126,0.089055,0.068941
