,1,2,3,4,5,6+
1,37.999786,0.000000,0.000000,0.000000,0.000000,0.000000
2,33.716801,308.283222,0.000000,0.000000,0.000000,0.000000
3,167.371838,1530.332887,693.295575,0.000000,0.000000,0.000000
4,202.693965,1853.294111,839.608569,156.403420,0.000000,0.000000
5,88.039278,804.970563,364.680478,67.933173,22.376433,0.000000
6,28.891070,264.160057,119.673961,22.293027,7.343076,5.638744
7,9.995794,91.394663,41.405054,7.712989,2.540573,1.950905
8,2.386093,21.816790,9.883787,1.841165,0.606459,0.465700
9,0.838357,7.665359,3.472682,0.646896,0.213080,0.163624
10,0.128978,1.179286,0.534259,0.099522,0.032782,0.025173
11,0.128978,1.179286,0.534259,0.099522,0.032782,0.025173
12,0.064489,0.589643,0.267129,0.049761,0.016391,0.012586
52,0.064489,0.589643,0.267129,0.049761,0.016391,0.012586
