,1,2,3,4+
1,2286.003133,0.000000,0.000000,0.000000
2,5970.901047,5299.106066,0.000000,0.000000
3,4712.628221,4182.403392,1194.968255,0.000000
4,797.485246,707.758992,202.216154,302.531534
5,142.833178,126.762805,36.217819,54.184752
6,37.295330,33.099177,9.456875,14.148241
7,11.109247,9.859329,2.816941,4.214370
8,4.364347,3.873308,1.106656,1.655645
9,3.967588,3.521189,1.006051,1.505132
12,0.396759,0.352119,0.100605,0.150513
13,0.793518,0.704238,0.201210,0.301026
14,0.396759,0.352119,0.100605,0.150513
51,0.396759,0.352119,0.100605,0.150513
