,1,2,3,4,5,6+
1,8.999960,0.000000,0.000000,0.000000,0.000000,0.000000
2,1.629417,86.370576,0.000000,0.000000,0.000000,0.000000
3,5.031861,266.724090,1315.244050,0.000000,0.000000,0.000000
4,18.219497,965.761764,4762.271066,677.747687,0.000000,0.000000
5,23.799952,1261.565212,6220.908433,885.335220,181.391205,0.000000
6,7.325497,388.302979,1914.762116,272.501413,55.831236,34.276766
7,2.710406,143.670649,708.454820,100.824503,20.657349,12.682275
8,0.959193,50.844011,250.717075,35.681068,7.310487,4.488166
9,0.298720,15.834278,78.080460,11.112104,2.276695,1.397743
10,0.123325,6.537087,32.235052,4.587566,0.939920,0.577050
11,0.043849,2.324298,11.461352,1.631135,0.334194,0.205173
12,0.016443,0.871612,4.298007,0.611675,0.125323,0.076940
13,0.008222,0.435806,2.149003,0.305838,0.062661,0.038470
15,0.002741,0.145269,0.716334,0.101946,0.020887,0.012823
16,0.002741,0.145269,0.716334,0.101946,0.020887,0.012823
17,0.002741,0.145269,0.716334,0.101946,0.020887,0.012823
31,0.002741,0.145269,0.716334,0.101946,0.020887,0.012823
44,0.002741,0.145269,0.716334,0.101946,0.020887,0.012823
