,1,2,3,4,5,6+
1,9.999967,0.000000,0.000000,0.000000,0.000000,0.000000
2,2.839013,100.160975,0.000000,0.000000,0.000000,0.000000
3,2.808215,99.074409,678.117377,0.000000,0.000000,0.000000
4,8.763075,309.163108,2116.074952,370.998875,0.000000,0.000000
5,13.593215,479.571462,3282.439375,575.490633,168.905333,0.000000
6,5.740409,202.522820,1386.172723,243.029445,71.328649,53.205964
7,2.715137,95.790610,655.641328,114.949707,33.737506,25.165716
8,1.243463,43.869622,300.266772,52.643993,15.450905,11.525247
9,0.430092,15.173728,103.856978,18.208628,5.344195,3.986380
10,0.198954,7.019140,48.042684,8.423039,2.472145,1.844040
11,0.067293,2.374121,16.249731,2.848969,0.836167,0.623719
12,0.026332,0.929004,6.358590,1.114814,0.327196,0.244064
13,0.014629,0.516113,3.532550,0.619341,0.181775,0.135591
14,0.002926,0.103223,0.706510,0.123868,0.036355,0.027118
17,0.005852,0.206445,1.413020,0.247736,0.072710,0.054236
19,0.002926,0.103223,0.706510,0.123868,0.036355,0.027118
20,0.002926,0.103223,0.706510,0.123868,0.036355,0.027118
64,0.002926,0.103223,0.706510,0.123868,0.036355,0.027118
70,0.002926,0.103223,0.706510,0.123868,0.036355,0.027118
