,1,2,3,4,5,6+
1,23.135365,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000001,37.002592,0.000000,0.000000,0.000000,0.000000
3,0.000000,9.982137,102.025711,0.000000,0.000000,0.000000
4,0.000000,25.653491,262.199928,438.197458,0.000000,0.000000
5,0.000001,48.716853,497.926592,832.151896,301.322390,0.000000
6,0.000001,64.984982,664.200348,1110.034265,401.943659,165.005355
7,0.000001,67.902014,694.014827,1159.861240,419.986018,172.412079
8,0.000001,53.613961,547.979090,915.801337,331.611872,136.132847
9,0.000001,34.464188,352.252553,588.696476,213.167128,87.509074
10,0.000000,21.526613,220.019816,367.704617,133.145925,54.658881
11,0.000000,9.858486,100.761898,168.396719,60.976490,25.031984
12,0.000000,5.293872,54.107759,90.426731,32.743540,13.441833
13,0.000000,2.700955,27.605999,46.136087,16.705888,6.858078
14,0.000000,1.296458,13.250880,22.145322,8.018826,3.291877
15,0.000000,1.269449,12.974820,21.683961,7.851767,3.223297
16,0.000000,0.378134,3.864840,6.459052,2.338824,0.960131
17,0.000000,0.324115,3.312720,5.536330,2.004707,0.822969
18,0.000000,0.189067,1.932420,3.229526,1.169412,0.480065
19,0.000000,0.135048,1.380300,2.306804,0.835294,0.342904
20,0.000000,0.081029,0.828180,1.384083,0.501177,0.205742
21,0.000000,0.027010,0.276060,0.461361,0.167059,0.068581
22,0.000000,0.054019,0.552120,0.922722,0.334118,0.137162
24,0.000000,0.054019,0.552120,0.922722,0.334118,0.137162
28,0.000000,0.027010,0.276060,0.461361,0.167059,0.068581
88,0.000000,0.027010,0.276060,0.461361,0.167059,0.068581
99,0.000000,0.027010,0.276060,0.461361,0.167059,0.068581
