,1,2,3,4+
1,1.999995,0.000000,0.000000,0.000000
2,1.131745,33.868248,0.000000,0.000000
3,1.087560,32.545967,175.366468,0.000000
4,3.538338,105.887180,570.548750,610.025734
5,7.740457,231.638467,1248.130677,1334.490404
6,6.421123,192.156503,1035.391182,1107.031196
7,4.207605,125.915453,678.466498,725.410446
8,2.342434,70.098955,377.712118,403.846494
9,1.184932,35.459893,191.067488,204.287688
10,0.581494,17.401614,93.764601,100.252291
11,0.348348,10.424552,56.170303,60.056797
12,0.172803,5.171234,27.864009,29.791954
13,0.098744,2.954991,15.922291,17.023974
14,0.068572,2.052077,11.057146,11.822204
15,0.041143,1.231246,6.634288,7.093322
16,0.046629,1.395412,7.518860,8.039099
17,0.019200,0.574582,3.096001,3.310217
18,0.019200,0.574582,3.096001,3.310217
19,0.013714,0.410415,2.211429,2.364441
20,0.005486,0.164166,0.884572,0.945776
21,0.002743,0.082083,0.442286,0.472888
22,0.002743,0.082083,0.442286,0.472888
24,0.002743,0.082083,0.442286,0.472888
27,0.002743,0.082083,0.442286,0.472888
