,1,2,3,4,5,6+
1,10.000035,0.000000,0.000000,0.000000,0.000000,0.000000
2,13.209873,223.790866,0.000000,0.000000,0.000000,0.000000
3,55.395768,938.469791,1304.138657,0.000000,0.000000,0.000000
4,93.784162,1588.814550,2207.886173,409.518993,0.000000,0.000000
5,58.564546,992.152639,1378.738691,255.728618,105.814399,0.000000
6,13.576174,229.996435,319.613103,59.281877,24.529426,44.997772
7,3.688325,62.484580,86.831305,16.105481,6.664064,12.224828
8,1.746069,29.580466,41.106309,7.624403,3.154796,5.787286
9,0.647419,10.968038,15.241665,2.827026,1.169756,2.145847
10,0.372756,6.314931,8.775504,1.627682,0.673496,1.235488
11,0.039237,0.664730,0.923737,0.171335,0.070894,0.130051
12,0.019619,0.332365,0.461869,0.085667,0.035447,0.065026
13,0.019619,0.332365,0.461869,0.085667,0.035447,0.065026
14,0.019619,0.332365,0.461869,0.085667,0.035447,0.065026
16,0.019619,0.332365,0.461869,0.085667,0.035447,0.065026
44,0.039237,0.664730,0.923737,0.171335,0.070894,0.130051
99,0.019619,0.332365,0.461869,0.085667,0.035447,0.065026
