,1,2,3,4+
1,97.999781,0.000000,0.000000,0.000000
2,524.207648,2424.787614,0.000000,0.000000
3,511.141409,2364.348101,2174.510828,0.000000
4,410.730352,1899.884280,1747.339546,604.048029
5,256.111783,1184.676878,1089.557285,376.655431
6,113.210747,523.670378,481.624049,166.495435
7,47.398741,219.248765,201.644933,69.707816
8,21.937335,101.473871,93.326372,32.262540
9,6.343326,29.341842,26.985939,9.328927
10,2.114442,9.780614,8.995313,3.109642
11,0.969119,4.482781,4.122852,1.425253
12,0.352407,1.630102,1.499219,0.518274
13,0.088102,0.407526,0.374805,0.129568
14,0.088102,0.407526,0.374805,0.129568
44,0.088102,0.407526,0.374805,0.129568
