,1,2,3,4,5,6+
1,38.999851,0.000000,0.000000,0.000000,0.000000,0.000000
2,22.854070,606.145840,0.000000,0.000000,0.000000,0.000000
3,69.417297,1841.116548,3531.466181,0.000000,0.000000,0.000000
4,172.594052,4577.616522,8780.377297,1028.412269,0.000000,0.000000
5,118.725965,3148.903070,6039.946093,707.435963,185.989002,0.000000
6,26.470650,702.066394,1346.641380,157.726994,41.467338,81.627233
7,8.909688,236.306728,453.262570,53.088925,13.957385,27.474701
8,3.033563,80.457524,154.326474,18.075674,4.752199,9.354564
9,1.101071,29.203101,56.014794,6.560800,1.724872,3.395360
10,0.539300,14.303560,27.435818,3.213453,0.844835,1.663034
11,0.202238,5.363835,10.288432,1.205045,0.316813,0.623638
12,0.078648,2.085936,4.001057,0.468629,0.123205,0.242526
13,0.022471,0.595982,1.143159,0.133894,0.035201,0.069293
15,0.011235,0.297991,0.571580,0.066947,0.017601,0.034647
16,0.033706,0.893972,1.714739,0.200841,0.052802,0.103940
18,0.011235,0.297991,0.571580,0.066947,0.017601,0.034647
50,0.011235,0.297991,0.571580,0.066947,0.017601,0.034647
