,1,2,3,4+
1,30.999905,0.000000,0.000000,0.000000
2,6.890180,265.109799,0.000000,0.000000
3,13.428918,516.697362,2150.873726,0.000000
4,38.662697,1487.604117,6192.500380,703.232837
5,67.147859,2583.612612,10754.892313,1221.347270
6,19.230353,739.916130,3080.074103,349.779429
7,7.046692,271.131836,1128.649737,128.171741
8,2.804905,107.922835,449.254065,51.018198
9,1.014540,39.035919,162.496151,18.453391
10,0.445296,17.133412,71.321840,8.099452
11,0.243306,9.361555,38.969665,4.425474
12,0.091814,3.532662,14.705534,1.669990
13,0.045907,1.766331,7.352767,0.834995
14,0.050497,1.942964,8.088044,0.918495
15,0.004591,0.176633,0.735277,0.083500
16,0.004591,0.176633,0.735277,0.083500
19,0.009181,0.353266,1.470553,0.166999
25,0.009181,0.353266,1.470553,0.166999
