,1,2,3,4,5,6+
2,1.199992,4.799969,0.000000,0.000000,0.000000,0.000000
3,0.908701,3.634804,8.456474,0.000000,0.000000,0.000000
4,1.274496,5.097982,11.860600,6.766911,0.000000,0.000000
5,2.006528,8.026111,18.672974,10.653623,6.640774,0.000000
6,1.404570,5.618281,13.071090,7.457541,4.648545,3.800000
7,0.897364,3.589458,8.350974,4.764540,2.969904,2.427778
8,0.429174,1.716697,3.993944,2.278693,1.420389,1.161111
9,0.234095,0.936380,2.178515,1.242923,0.774757,0.633333
10,0.078032,0.312127,0.726172,0.414308,0.258252,0.211111
12,0.039016,0.156063,0.363086,0.207154,0.129126,0.105556
13,0.039016,0.156063,0.363086,0.207154,0.129126,0.105556
16,0.039016,0.156063,0.363086,0.207154,0.129126,0.105556
