,1,2,3,4+
1,143.999729,0.000000,0.000000,0.000000
2,400.486340,2471.510517,0.000000,0.000000
3,578.536146,3570.304468,4015.158528,0.000000
4,348.214731,2148.928147,2416.681057,1143.177868
5,259.278262,1600.076927,1799.443878,851.202276
6,123.257782,760.657413,855.434074,404.651370
7,57.662106,355.848594,400.186743,189.302857
8,22.305979,137.656285,154.808032,73.229819
9,8.680935,53.572420,60.247456,28.499234
10,3.161930,19.513133,21.944438,10.380516
11,0.919834,5.676548,6.383836,3.019786
12,0.517407,3.193058,3.590908,1.698630
13,0.229959,1.419137,1.595959,0.754947
14,0.057490,0.354784,0.398990,0.188737
15,0.114979,0.709568,0.797980,0.377473
16,0.057490,0.354784,0.398990,0.188737
17,0.057490,0.354784,0.398990,0.188737
34,0.057490,0.354784,0.398990,0.188737
44,0.057490,0.354784,0.398990,0.188737
