,1,2,3,4+
1,29.999895,0.000000,0.000000,0.000000
2,13.312877,234.687035,0.000000,0.000000
3,4.933945,86.978412,588.087621,0.000000
4,7.700092,135.741639,917.790701,1878.767583
5,20.963108,369.549686,2498.638358,5114.848890
6,25.549115,450.394451,3045.254521,6233.801964
7,23.655521,417.013089,2819.552930,5771.778507
8,15.277088,269.313258,1820.909238,3727.500446
9,7.309849,128.862216,871.276819,1783.551131
10,3.509566,61.868638,418.312769,856.309034
11,1.631686,28.764300,194.484220,398.119797
12,0.974297,17.175473,116.128619,237.721613
13,0.434767,7.664324,51.820836,106.080074
14,0.256670,4.524721,30.593023,62.625586
15,0.162383,2.862579,19.354770,39.620269
16,0.104763,1.846825,12.486948,25.561464
17,0.052382,0.923413,6.243474,12.780732
18,0.044524,0.784901,5.306953,10.863622
19,0.039286,0.692559,4.682606,9.585549
20,0.015714,0.277024,1.873042,3.834220
21,0.013095,0.230853,1.560869,3.195183
22,0.007857,0.138512,0.936521,1.917110
24,0.002619,0.046171,0.312174,0.639037
25,0.013095,0.230853,1.560869,3.195183
27,0.005238,0.092341,0.624347,1.278073
28,0.002619,0.046171,0.312174,0.639037
37,0.002619,0.046171,0.312174,0.639037
45,0.002619,0.046171,0.312174,0.639037
61,0.002619,0.046171,0.312174,0.639037
67,0.002619,0.046171,0.312174,0.639037
