,1,2,3,4,5,6+
1,25.999815,0.000000,0.000000,0.000000,0.000000,0.000000
2,14.271586,398.728234,0.000000,0.000000,0.000000,0.000000
3,26.837144,749.792441,3428.370389,0.000000,0.000000,0.000000
4,70.376043,1966.208652,8990.343400,1495.071999,0.000000,0.000000
5,101.772787,2843.389990,13001.190082,2162.065938,414.581384,0.000000
6,32.688428,913.269183,4175.855684,694.434531,133.159504,115.592740
7,12.633417,352.960093,1613.883879,268.384920,51.463459,44.674259
8,5.174096,144.557035,660.976332,109.918739,21.077185,18.296625
9,1.988793,55.564110,254.062778,42.250015,8.101543,7.032765
10,0.582086,16.262666,74.359837,12.365858,2.371183,2.058370
11,0.258705,7.227852,33.048817,5.495937,1.053859,0.914831
12,0.140132,3.915086,17.901442,2.976966,0.570840,0.495534
13,0.102404,2.861025,13.081823,2.175475,0.417153,0.362121
14,0.053897,1.505802,6.885170,1.144987,0.219554,0.190590
15,0.005390,0.150580,0.688517,0.114499,0.021955,0.019059
16,0.032338,0.903481,4.131102,0.686992,0.131732,0.114354
17,0.005390,0.150580,0.688517,0.114499,0.021955,0.019059
18,0.010779,0.301160,1.377034,0.228997,0.043911,0.038118
19,0.010779,0.301160,1.377034,0.228997,0.043911,0.038118
20,0.005390,0.150580,0.688517,0.114499,0.021955,0.019059
21,0.005390,0.150580,0.688517,0.114499,0.021955,0.019059
23,0.010779,0.301160,1.377034,0.228997,0.043911,0.038118
24,0.005390,0.150580,0.688517,0.114499,0.021955,0.019059
30,0.005390,0.150580,0.688517,0.114499,0.021955,0.019059
37,0.005390,0.150580,0.688517,0.114499,0.021955,0.019059
41,0.005390,0.150580,0.688517,0.114499,0.021955,0.019059
44,0.005390,0.150580,0.688517,0.114499,0.021955,0.019059
53,0.005390,0.150580,0.688517,0.114499,0.021955,0.019059
74,0.005390,0.150580,0.688517,0.114499,0.021955,0.019059
