,1,2,3,4,5,6+
1,19.999843,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.672805,40.327189,0.000000,0.000000,0.000000,0.000000
3,0.164581,9.864777,125.970642,0.000000,0.000000,0.000000
4,0.661404,39.643841,506.241536,935.453232,0.000000,0.000000
5,1.380376,82.738189,1056.545164,1952.326149,422.010153,0.000000
6,1.709326,102.455084,1308.324777,2417.574526,522.577131,108.359197
7,1.550310,92.923844,1186.613326,2192.671269,473.962580,98.278707
8,0.903134,54.132847,691.262385,1277.342111,276.107217,57.252326
9,0.427619,25.630996,327.301155,604.800083,130.732140,27.108017
10,0.191586,11.483421,146.640302,270.967779,58.571747,12.145169
11,0.059008,3.536894,45.165213,83.458076,18.040098,3.740712
12,0.028738,1.722513,21.996045,40.645167,8.785762,1.821775
13,0.016860,1.010541,12.904347,23.845165,5.154314,1.068775
14,0.007663,0.459337,5.865612,10.838711,2.342870,0.485807
15,0.003832,0.229668,2.932806,5.419356,1.171435,0.242903
16,0.003832,0.229668,2.932806,5.419356,1.171435,0.242903
17,0.002299,0.137801,1.759684,3.251613,0.702861,0.145742
18,0.001916,0.114834,1.466403,2.709678,0.585717,0.121452
19,0.001533,0.091867,1.173122,2.167742,0.468574,0.097161
21,0.000383,0.022967,0.293281,0.541936,0.117143,0.024290
30,0.000383,0.022967,0.293281,0.541936,0.117143,0.024290
55,0.000383,0.022967,0.293281,0.541936,0.117143,0.024290
70,0.000766,0.045934,0.586561,1.083871,0.234287,0.048581
