,1,2,3,4,5,6+
1,143.999817,0.000000,0.000000,0.000000,0.000000,0.000000
2,266.702003,2036.297855,0.000000,0.000000,0.000000,0.000000
3,424.655670,3242.290723,3984.053949,0.000000,0.000000,0.000000
4,468.800247,3579.339218,4398.211563,1111.649100,0.000000,0.000000
5,319.970802,2443.010745,3001.916681,758.735211,267.366507,0.000000
6,139.878529,1067.987289,1312.318771,331.688906,116.882020,47.244429
7,57.973528,442.633989,543.898695,137.470535,48.442482,19.580748
8,21.241501,162.181094,199.284482,50.369204,17.749325,7.174386
9,6.122005,46.742149,57.435702,14.516888,5.115526,2.067727
10,2.133426,16.288931,20.015472,5.058916,1.782683,0.720572
11,0.649304,4.957501,6.091665,1.539670,0.542556,0.219304
12,0.092758,0.708214,0.870238,0.219953,0.077508,0.031329
14,0.139136,1.062322,1.305357,0.329929,0.116262,0.046994
15,0.185515,1.416429,1.740476,0.439906,0.155016,0.062658
18,0.046379,0.354107,0.435119,0.109976,0.038754,0.015665
70,0.046379,0.354107,0.435119,0.109976,0.038754,0.015665
93,0.046379,0.354107,0.435119,0.109976,0.038754,0.015665
