,1,2,3,4,5,6+
1,12.670199,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,21.020070,0.000000,0.000000,0.000000,0.000000
3,0.000000,5.687321,74.389137,0.000000,0.000000,0.000000
4,0.000000,14.836325,194.056458,349.640514,0.000000,0.000000
5,0.000000,32.895643,430.269075,775.235732,133.909857,0.000000
6,0.000000,39.082177,511.187828,921.030800,159.093677,46.206366
7,0.000000,30.729091,401.930967,724.177650,125.090371,36.330617
8,0.000000,21.162707,276.804394,498.731305,86.148039,25.020402
9,0.000000,9.099731,119.022838,214.448962,37.042707,10.758497
10,0.000000,3.639892,47.609135,85.779585,14.817083,4.303399
11,0.000000,1.399959,18.311206,32.992148,5.698878,1.655153
12,0.000000,0.886640,11.597097,20.895027,3.609289,1.048264
13,0.000000,0.466653,6.103735,10.997383,1.899626,0.551718
14,0.000000,0.279992,3.662241,6.598430,1.139776,0.331031
15,0.000000,0.256659,3.357054,6.048560,1.044794,0.303445
18,0.000000,0.046665,0.610374,1.099738,0.189963,0.055172
19,0.000000,0.023333,0.305187,0.549869,0.094981,0.027586
20,0.000000,0.023333,0.305187,0.549869,0.094981,0.027586
22,0.000000,0.023333,0.305187,0.549869,0.094981,0.027586
24,0.000000,0.023333,0.305187,0.549869,0.094981,0.027586
88,0.000000,0.023333,0.305187,0.549869,0.094981,0.027586
