,1,2,3,4,5,6+
1,0.999998,0.000000,0.000000,0.000000,0.000000,0.000000
2,1.001277,27.998715,0.000000,0.000000,0.000000,0.000000
3,1.329932,37.188919,185.481148,0.000000,0.000000,0.000000
4,4.088932,114.338877,570.269497,89.302698,0.000000,0.000000
5,6.160185,172.257347,859.140069,134.539067,36.903339,0.000000
6,2.072618,57.956649,289.060992,45.266188,12.416271,17.227282
7,0.816338,22.827265,113.851853,17.828900,4.890371,6.785274
8,0.327513,9.158244,45.677091,7.152912,1.962005,2.722236
9,0.210195,5.877679,29.315148,4.590675,1.259197,1.747106
10,0.068435,1.913663,9.544467,1.494638,0.409971,0.568825
11,0.039106,1.093522,5.453981,0.854079,0.234269,0.325043
12,0.009776,0.273380,1.363495,0.213520,0.058567,0.081261
13,0.009776,0.273380,1.363495,0.213520,0.058567,0.081261
14,0.009776,0.273380,1.363495,0.213520,0.058567,0.081261
15,0.004888,0.136690,0.681748,0.106760,0.029284,0.040630
17,0.004888,0.136690,0.681748,0.106760,0.029284,0.040630
55,0.004888,0.136690,0.681748,0.106760,0.029284,0.040630
