,1,2,3,4+
1,12.999894,0.000000,0.000000,0.000000
2,1.831323,65.168658,0.000000,0.000000
3,0.456431,16.242337,142.301231,0.000000
4,0.816403,29.052141,254.529598,584.601869
5,1.820700,64.790621,567.639080,1303.749622
6,2.117574,75.355036,660.195297,1516.332119
7,2.094087,74.519244,652.872812,1499.513884
8,1.501279,53.423846,468.053277,1075.021618
9,0.830495,29.553617,258.923089,594.692810
10,0.368274,13.105224,114.816573,263.709934
11,0.150316,5.349071,46.863908,107.636708
12,0.074218,2.641104,23.139054,53.145624
13,0.048853,1.738448,15.230770,34.981930
14,0.016911,0.601770,5.272190,12.109130
15,0.009395,0.334317,2.928994,6.727294
16,0.005637,0.200590,1.757397,4.036377
17,0.005637,0.200590,1.757397,4.036377
18,0.003758,0.133727,1.171598,2.690918
19,0.002818,0.100295,0.878698,2.018188
20,0.002818,0.100295,0.878698,2.018188
21,0.001879,0.066863,0.585799,1.345459
22,0.000939,0.033432,0.292899,0.672729
27,0.000939,0.033432,0.292899,0.672729
63,0.000939,0.033432,0.292899,0.672729
