,1,2,3,4,5,6+
1,13.999930,0.000000,0.000000,0.000000,0.000000,0.000000
2,2.487766,125.512222,0.000000,0.000000,0.000000,0.000000
3,5.634299,284.260387,1055.105318,0.000000,0.000000,0.000000
4,14.150264,713.905953,2649.845009,487.098799,0.000000,0.000000
5,17.717065,893.857422,3317.781029,609.879879,91.764640,0.000000
6,5.165524,260.609850,967.320286,177.814381,26.754568,20.335403
7,2.384360,120.295219,446.506552,82.077557,12.349674,9.386643
8,0.772349,38.966356,144.633623,26.586787,4.000340,3.040547
9,0.233830,11.797154,43.788161,8.049211,1.211112,0.920533
10,0.074401,3.753640,13.932597,2.561112,0.385354,0.292897
11,0.021257,1.072469,3.980742,0.731746,0.110101,0.083685
12,0.017714,0.893724,3.317285,0.609789,0.091751,0.069737
13,0.003543,0.178745,0.663457,0.121958,0.018350,0.013947
14,0.003543,0.178745,0.663457,0.121958,0.018350,0.013947
17,0.003543,0.178745,0.663457,0.121958,0.018350,0.013947
19,0.003543,0.178745,0.663457,0.121958,0.018350,0.013947
