,1,2,3,4,5,6+
1,3.999986,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.350280,16.649719,0.000000,0.000000,0.000000,0.000000
3,0.318273,15.128350,111.553377,0.000000,0.000000,0.000000
4,1.468821,69.816945,514.815959,513.898276,0.000000,0.000000
5,2.756575,131.027296,966.168639,964.446399,218.601095,0.000000
6,2.688996,127.815123,942.482728,940.802709,213.242025,79.968423
7,1.955846,92.966526,685.516262,684.294298,155.101915,58.165156
8,1.278643,60.777282,448.159321,447.360456,101.398570,38.025731
9,0.543161,25.817879,190.375792,190.036438,43.073595,16.153136
10,0.245938,11.690070,86.200197,86.046542,19.503280,7.313974
11,0.103737,4.930883,36.359325,36.294513,8.226502,3.085041
12,0.050120,2.382336,17.566865,17.535551,3.974602,1.490525
13,0.018649,0.886451,6.536508,6.524856,1.478922,0.554614
14,0.009325,0.443225,3.268254,3.262428,0.739461,0.277307
15,0.003497,0.166210,1.225595,1.223411,0.277298,0.103990
16,0.002331,0.110806,0.817063,0.815607,0.184865,0.069327
17,0.003497,0.166210,1.225595,1.223411,0.277298,0.103990
20,0.001166,0.055403,0.408532,0.407804,0.092433,0.034663
21,0.001166,0.055403,0.408532,0.407804,0.092433,0.034663
25,0.001166,0.055403,0.408532,0.407804,0.092433,0.034663
