,1,2,3,4+
1,3.999991,0.000000,0.000000,0.000000
2,1.863822,63.136172,0.000000,0.000000
3,4.499430,152.416242,595.084328,0.000000
4,16.394284,555.349314,2168.270713,196.985694
5,22.701924,769.017930,3002.504933,272.775219
6,5.113096,173.203940,676.246501,61.436464
7,1.613193,54.646221,213.357248,19.383339
8,0.597272,20.232338,78.993860,7.176530
9,0.161878,5.483531,21.409551,1.945041
10,0.066984,2.269047,8.859124,0.804845
11,0.011164,0.378175,1.476521,0.134141
12,0.011164,0.378175,1.476521,0.134141
15,0.022328,0.756349,2.953041,0.268282
44,0.005582,0.189087,0.738260,0.067070
