,1,2,3,4,5,6+
1,8.999984,0.000000,0.000000,0.000000,0.000000,0.000000
2,3.920970,87.079030,0.000000,0.000000,0.000000,0.000000
3,24.282479,539.278520,534.439033,0.000000,0.000000,0.000000
4,13.570495,301.380943,298.676350,111.372210,0.000000,0.000000
5,12.146903,269.765028,267.344156,99.688876,22.055030,0.000000
6,5.990303,133.035914,131.842050,49.162046,10.876543,4.093138
7,2.646462,58.774076,58.246637,21.719352,4.805159,1.808312
8,0.643734,14.296397,14.168101,5.283086,1.168823,0.439860
9,0.303986,6.751076,6.690492,2.494790,0.551944,0.207712
10,0.017882,0.397122,0.393558,0.146752,0.032467,0.012218
11,0.035763,0.794244,0.787117,0.293505,0.064935,0.024437
16,0.017882,0.397122,0.393558,0.146752,0.032467,0.012218
