,1,2,3,4,5,6+
1,249.000085,0.000000,0.000000,0.000000,0.000000,0.000000
2,461.180723,735.819526,0.000000,0.000000,0.000000,0.000000
3,605.904101,966.727459,132.368721,0.000000,0.000000,0.000000
4,52.679605,84.050959,11.508640,22.760615,0.000000,0.000000
5,10.960498,17.487609,2.394483,4.735565,10.421538,0.000000
6,2.859260,4.561985,0.624648,1.235365,2.718662,0.000000
7,0.953087,1.520662,0.208216,0.411788,0.906221,0.000000
8,0.238272,0.380165,0.052054,0.102947,0.226555,0.000000
16,0.238272,0.380165,0.052054,0.102947,0.226555,0.000000
30,0.238272,0.380165,0.052054,0.102947,0.226555,0.000000
