,1,2,3,4,5,6+
1,2.999981,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.949360,31.050631,0.000000,0.000000,0.000000,0.000000
3,0.297962,9.745407,62.956630,0.000000,0.000000,0.000000
4,0.660005,21.586734,139.453183,181.300078,0.000000,0.000000
5,1.788234,58.487622,377.837844,491.218839,93.667467,0.000000
6,2.479628,81.100981,523.923162,681.141213,129.882584,41.472441
7,2.173921,71.102230,459.329895,597.164899,113.869662,36.359400
8,1.210942,39.606164,255.861106,332.639510,63.428960,20.253322
9,0.518005,16.942328,109.449702,142.293199,27.133005,8.663763
10,0.256455,8.387841,54.186574,70.446797,13.433062,4.289273
11,0.132473,4.332792,27.990415,36.389736,6.938933,2.215651
12,0.066237,2.166396,13.995208,18.194868,3.469466,1.107825
13,0.039063,1.277618,8.253584,10.730307,2.046095,0.653333
14,0.016984,0.555486,3.588515,4.665351,0.889607,0.284058
15,0.011889,0.388840,2.511960,3.265746,0.622725,0.198840
16,0.003397,0.111097,0.717703,0.933070,0.177921,0.056812
17,0.005095,0.166646,1.076554,1.399605,0.266882,0.085217
18,0.001698,0.055549,0.358851,0.466535,0.088961,0.028406
20,0.001698,0.055549,0.358851,0.466535,0.088961,0.028406
55,0.001698,0.055549,0.358851,0.466535,0.088961,0.028406
