,1,2,3,4+
1,1.000000,0.000000,0.000000,0.000000
2,2.479303,78.520730,0.000000,0.000000
3,16.017899,507.294647,364.687529,0.000000
4,45.698596,1447.296772,1040.442840,107.561733
5,30.921390,979.295468,704.002785,72.780317
6,5.225663,165.499290,118.975289,12.299751
7,1.176639,37.264741,26.789138,2.769480
8,0.519106,16.440327,11.818737,1.221830
9,0.069214,2.192044,1.575832,0.162911
10,0.017304,0.548011,0.393958,0.040728
11,0.051911,1.644033,1.181874,0.122183
12,0.017304,0.548011,0.393958,0.040728
44,0.017304,0.548011,0.393958,0.040728
