,1,2,3,4,5,6+
1,3.999970,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.234441,16.765557,0.000000,0.000000,0.000000,0.000000
3,0.085699,6.128561,57.785740,0.000000,0.000000,0.000000
4,0.250700,17.928286,169.044455,243.776562,0.000000,0.000000
5,0.454141,32.476874,306.221994,441.598305,88.248694,0.000000
6,0.474404,33.925957,319.885291,461.301949,92.186256,40.226151
7,0.416355,29.774680,280.743209,404.855719,80.906081,35.303964
8,0.208678,14.923127,140.709036,202.914465,40.550283,17.694415
9,0.083071,5.940621,56.013669,80.776502,16.142319,7.043820
10,0.039534,2.827163,26.657108,38.441829,7.682188,3.352179
11,0.015013,1.073606,10.122952,14.598163,2.917287,1.272979
12,0.008007,0.572590,5.398908,7.785687,1.555886,0.678922
13,0.008007,0.572590,5.398908,7.785687,1.555886,0.678922
14,0.002002,0.143147,1.349727,1.946422,0.388972,0.169731
15,0.002002,0.143147,1.349727,1.946422,0.388972,0.169731
16,0.001001,0.071574,0.674863,0.973211,0.194486,0.084865
17,0.000500,0.035787,0.337432,0.486605,0.097243,0.042433
19,0.000500,0.035787,0.337432,0.486605,0.097243,0.042433
20,0.000500,0.035787,0.337432,0.486605,0.097243,0.042433
21,0.000500,0.035787,0.337432,0.486605,0.097243,0.042433
