,1,2,3,4+
1,3.999973,0.000000,0.000000,0.000000
2,2.884498,73.115441,0.000000,0.000000
3,5.160112,130.797080,794.042794,0.000000
4,12.501584,316.886639,1923.755126,410.856685
5,15.974246,404.910705,2458.131550,524.983541
6,5.978610,151.544136,919.994006,196.483264
7,2.172760,55.074517,334.346330,71.406398
8,0.886937,22.481822,136.482627,29.148616
9,0.342573,8.683455,52.715512,11.258460
10,0.215868,5.471766,33.217994,7.094372
11,0.117320,2.973786,18.053258,3.855637
12,0.051621,1.308466,7.943433,1.696480
13,0.018771,0.475806,2.888521,0.616902
14,0.004693,0.118951,0.722130,0.154225
15,0.009386,0.237903,1.444261,0.308451
17,0.004693,0.118951,0.722130,0.154225
18,0.004693,0.118951,0.722130,0.154225
20,0.004693,0.118951,0.722130,0.154225
