,1,2,3,4,5,6+
1,20.999892,0.000000,0.000000,0.000000,0.000000,0.000000
2,3.034676,52.965305,0.000000,0.000000,0.000000,0.000000
3,1.103076,19.252392,130.644529,0.000000,0.000000,0.000000
4,2.055956,35.883343,243.500258,350.560452,0.000000,0.000000
5,3.995737,69.739040,473.241138,681.311916,178.712192,0.000000
6,4.597027,80.233583,544.455907,783.837810,205.605348,123.270356
7,4.351606,75.950160,515.389087,741.991130,194.628713,116.689332
8,2.744494,47.900647,325.048303,467.962871,122.749461,73.594242
9,1.395997,24.364848,165.337069,238.031114,62.436986,37.433994
10,0.791681,13.817494,93.763933,134.989290,35.408499,21.229108
11,0.432786,7.553563,51.257617,73.794145,19.356646,11.605246
12,0.250699,4.375540,29.691912,42.746608,11.212691,6.722551
13,0.142503,2.487149,16.877508,24.298072,6.373530,3.821239
14,0.079168,1.381749,9.376393,13.498929,3.540850,2.122911
15,0.036945,0.644816,4.375650,6.299500,1.652397,0.990692
16,0.026389,0.460583,3.125464,4.499643,1.180283,0.707637
17,0.002639,0.046058,0.312546,0.449964,0.118028,0.070764
18,0.005278,0.092117,0.625093,0.899929,0.236057,0.141527
19,0.005278,0.092117,0.625093,0.899929,0.236057,0.141527
20,0.010556,0.184233,1.250186,1.799857,0.472113,0.283055
21,0.005278,0.092117,0.625093,0.899929,0.236057,0.141527
22,0.002639,0.046058,0.312546,0.449964,0.118028,0.070764
23,0.002639,0.046058,0.312546,0.449964,0.118028,0.070764
26,0.002639,0.046058,0.312546,0.449964,0.118028,0.070764
27,0.005278,0.092117,0.625093,0.899929,0.236057,0.141527
43,0.002639,0.046058,0.312546,0.449964,0.118028,0.070764
