,1,2,3,4,5,6+
1,7.999986,0.000000,0.000000,0.000000,0.000000,0.000000
2,3.443352,83.556642,0.000000,0.000000,0.000000,0.000000
3,9.134787,221.665448,596.199768,0.000000,0.000000,0.000000
4,15.963849,387.379986,1041.911852,259.744323,0.000000,0.000000
5,19.069317,462.737495,1244.596255,310.272708,124.324236,0.000000
6,7.474171,181.368806,487.816397,121.610614,48.728574,63.001435
7,3.244283,78.726020,211.744480,52.787025,21.151414,27.346777
8,1.708382,41.455727,111.500891,27.796712,11.137960,14.400328
9,0.960965,23.318847,62.719251,15.635650,6.265102,8.100184
10,0.566723,13.752140,36.988276,9.221025,3.694804,4.777032
11,0.238188,5.779885,15.545797,3.875503,1.552889,2.007738
12,0.172481,4.185434,11.257301,2.806399,1.124506,1.453879
13,0.049280,1.195838,3.216372,0.801828,0.321287,0.415394
14,0.090347,2.192370,5.896682,1.470018,0.589027,0.761556
15,0.008213,0.199306,0.536062,0.133638,0.053548,0.069232
16,0.024640,0.597919,1.608186,0.400914,0.160644,0.207697
18,0.008213,0.199306,0.536062,0.133638,0.053548,0.069232
19,0.008213,0.199306,0.536062,0.133638,0.053548,0.069232
23,0.008213,0.199306,0.536062,0.133638,0.053548,0.069232
45,0.008213,0.199306,0.536062,0.133638,0.053548,0.069232
