,1,2,3,4+
1,32.999769,0.000000,0.000000,0.000000
2,57.868717,529.131110,0.000000,0.000000
3,140.645029,1286.008470,1076.346918,0.000000
4,138.224612,1263.877033,1057.823631,383.074718
5,103.315969,944.684733,790.670143,286.329151
6,50.661289,463.228937,387.707430,140.402341
7,20.906290,191.159734,159.994429,57.939546
8,7.244273,66.239071,55.439930,20.076726
9,2.042010,18.671416,15.627363,5.659211
10,0.583431,5.334690,4.464961,1.616918
11,0.291716,2.667345,2.232480,0.808459
12,0.097239,0.889115,0.744160,0.269486
14,0.097239,0.889115,0.744160,0.269486
33,0.048619,0.444558,0.372080,0.134743
