,1,2,3,4+
1,11.999959,0.000000,0.000000,0.000000
2,4.445734,75.554241,0.000000,0.000000
3,2.281306,38.770286,238.948399,0.000000
4,3.383221,57.497082,354.365086,701.754618
5,6.224279,105.780218,651.942929,1291.052588
6,7.956779,135.223666,833.408309,1650.411265
7,6.548366,111.287996,685.888376,1358.275278
8,4.146491,70.468671,434.311372,860.073476
9,1.944519,33.046667,203.672681,403.336137
10,0.969231,16.471859,101.519094,201.039819
11,0.539135,9.162471,56.469996,111.828399
12,0.224135,3.809117,23.476290,46.490458
13,0.157500,2.676677,16.496853,32.668971
14,0.066635,1.132440,6.979438,13.821488
15,0.048462,0.823593,5.075955,10.051991
16,0.051490,0.875067,5.393202,10.680240
17,0.009087,0.154424,0.951742,1.884748
18,0.006058,0.102949,0.634494,1.256499
19,0.009087,0.154424,0.951742,1.884748
20,0.009087,0.154424,0.951742,1.884748
21,0.009087,0.154424,0.951742,1.884748
22,0.003029,0.051475,0.317247,0.628249
28,0.003029,0.051475,0.317247,0.628249
32,0.006058,0.102949,0.634494,1.256499
48,0.003029,0.051475,0.317247,0.628249
49,0.003029,0.051475,0.317247,0.628249
60,0.003029,0.051475,0.317247,0.628249
