,1,2,3,4+
1,2.999988,0.000000,0.000000,0.000000
2,0.188176,7.811823,0.000000,0.000000
3,0.092671,3.847097,42.060232,0.000000
4,0.479085,19.888433,217.439846,233.192638
5,1.215513,50.460037,551.678589,591.645865
6,1.131088,46.955281,513.361164,550.552470
7,0.738462,30.656056,335.162055,359.443429
8,0.367197,15.243576,166.657716,178.731512
9,0.155626,6.460574,70.633326,75.750475
10,0.073236,3.040270,33.239212,35.647282
11,0.041704,1.731265,18.927885,20.299147
12,0.028481,1.182327,12.926360,13.862832
13,0.009154,0.380034,4.154902,4.455910
14,0.005086,0.211130,2.308279,2.475506
15,0.005086,0.211130,2.308279,2.475506
16,0.004069,0.168904,1.846623,1.980405
17,0.003051,0.126678,1.384967,1.485303
19,0.001017,0.042226,0.461656,0.495101
20,0.001017,0.042226,0.461656,0.495101
27,0.001017,0.042226,0.461656,0.495101
88,0.001017,0.042226,0.461656,0.495101
