,1,2,3,4,5,6+
1,3.000004,0.000000,0.000000,0.000000,0.000000,0.000000
2,1.274974,96.725329,0.000000,0.000000,0.000000,0.000000
3,9.879708,749.519788,1260.605576,0.000000,0.000000,0.000000
4,19.058868,1445.892798,2431.824419,535.230873,0.000000,0.000000
5,17.306665,1312.962712,2208.251392,486.023708,112.459029,0.000000
6,5.200931,394.566399,663.615037,146.057936,33.795746,109.754109
7,1.764396,133.855120,225.128826,49.549588,11.465076,37.233655
8,0.699608,53.075451,89.266768,19.647113,4.546065,14.763672
9,0.307520,23.329868,39.238140,8.636094,1.998270,6.489526
10,0.219108,16.622531,27.957175,6.153217,1.423768,4.623787
11,0.080724,6.124090,10.300012,2.266975,0.524546,1.703501
12,0.038440,2.916234,4.904767,1.079512,0.249784,0.811191
13,0.019220,1.458117,2.452384,0.539756,0.124892,0.405595
14,0.011532,0.874870,1.471430,0.323854,0.074935,0.243357
15,0.011532,0.874870,1.471430,0.323854,0.074935,0.243357
16,0.003844,0.291623,0.490477,0.107951,0.024978,0.081119
19,0.003844,0.291623,0.490477,0.107951,0.024978,0.081119
20,0.007688,0.583247,0.980953,0.215902,0.049957,0.162238
33,0.003844,0.291623,0.490477,0.107951,0.024978,0.081119
