,1,2,3,4,5,6+
1,0.999996,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.783383,9.216607,0.000000,0.000000,0.000000,0.000000
3,0.597892,7.034287,72.367814,0.000000,0.000000,0.000000
4,1.834403,21.582008,222.032855,261.550731,0.000000,0.000000
5,3.222560,37.913872,390.052915,459.475356,104.335301,0.000000
6,3.312188,38.968362,400.901367,472.254639,107.237155,51.326297
7,2.331485,27.430243,282.198728,332.425053,75.485372,36.129125
8,1.174994,13.823972,142.219200,167.531674,38.042231,18.207932
9,0.545863,6.422160,66.070337,77.829675,17.673162,8.458803
10,0.305313,3.592056,36.954595,43.531852,9.884989,4.731195
11,0.111023,1.306202,13.438035,15.829764,3.594542,1.720435
12,0.064763,0.761951,7.838854,9.234029,2.096816,1.003587
13,0.030840,0.362834,3.732787,4.397157,0.998484,0.477898
14,0.024672,0.290267,2.986230,3.517725,0.798787,0.382319
15,0.012336,0.145134,1.493115,1.758863,0.399394,0.191159
16,0.003084,0.036283,0.373279,0.439716,0.099848,0.047790
17,0.006168,0.072567,0.746557,0.879431,0.199697,0.095580
18,0.009252,0.108850,1.119836,1.319147,0.299545,0.143370
20,0.003084,0.036283,0.373279,0.439716,0.099848,0.047790
27,0.003084,0.036283,0.373279,0.439716,0.099848,0.047790
