,1,2,3,4,5,6+
1,2.999991,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.701222,36.298777,0.000000,0.000000,0.000000,0.000000
3,3.985786,206.324202,565.690023,0.000000,0.000000,0.000000
4,11.100129,574.598144,1575.406247,277.895507,0.000000,0.000000
5,11.032456,571.095055,1565.801643,276.201292,96.869561,0.000000
6,3.854323,199.519017,547.031884,96.494287,33.842561,37.257907
7,1.507301,78.025411,213.926412,37.735783,13.234727,14.570358
8,0.780941,40.425422,110.836526,19.551130,6.856990,7.548988
9,0.251917,13.040459,35.753718,6.306816,2.211932,2.435157
10,0.100767,5.216183,14.301487,2.522726,0.884773,0.974063
11,0.037787,1.956069,5.363058,0.946022,0.331790,0.365274
12,0.012596,0.652023,1.787686,0.315341,0.110597,0.121758
13,0.008397,0.434682,1.191791,0.210227,0.073731,0.081172
14,0.012596,0.652023,1.787686,0.315341,0.110597,0.121758
15,0.008397,0.434682,1.191791,0.210227,0.073731,0.081172
16,0.004199,0.217341,0.595895,0.105114,0.036866,0.040586
17,0.004199,0.217341,0.595895,0.105114,0.036866,0.040586
18,0.004199,0.217341,0.595895,0.105114,0.036866,0.040586
20,0.004199,0.217341,0.595895,0.105114,0.036866,0.040586
