,1,2,3,4,5,6+
1,2.000009,0.000000,0.000000,0.000000,0.000000,0.000000
2,5.408411,115.592030,0.000000,0.000000,0.000000,0.000000
3,22.259298,475.739990,700.003516,0.000000,0.000000,0.000000
4,42.637843,911.283319,1340.861692,249.220851,0.000000,0.000000
5,31.411660,671.350133,987.824156,183.603110,70.811354,0.000000
6,6.940917,148.345731,218.275814,40.570093,15.646920,36.215868
7,2.189517,46.795756,68.855246,12.797862,4.935831,11.424319
8,1.087311,23.238709,34.193422,6.355401,2.451127,5.673301
9,0.446840,9.550154,14.052091,2.611809,1.007312,2.331494
10,0.119157,2.546708,3.747224,0.696482,0.268617,0.621732
11,0.059579,1.273354,1.873612,0.348241,0.134308,0.310866
12,0.104263,2.228369,3.278821,0.609422,0.235040,0.544015
13,0.014895,0.318338,0.468403,0.087060,0.033577,0.077716
15,0.014895,0.318338,0.468403,0.087060,0.033577,0.077716
19,0.014895,0.318338,0.468403,0.087060,0.033577,0.077716
