,1,2,3,4,5,6+
1,12.999898,0.000000,0.000000,0.000000,0.000000,0.000000
2,2.427515,95.572468,0.000000,0.000000,0.000000,0.000000
3,9.248365,364.112662,1146.638977,0.000000,0.000000,0.000000
4,23.604452,929.318843,2926.548065,439.528678,0.000000,0.000000
5,27.961152,1100.844259,3466.704309,520.652977,95.837356,0.000000
6,8.199319,322.811217,1016.575259,152.676112,28.103315,13.634793
7,3.525388,138.796263,437.087806,65.644787,12.083332,5.862431
8,1.132591,44.590655,140.421874,21.089502,3.881975,1.883405
9,0.393482,15.491589,48.785064,7.326869,1.348668,0.654329
10,0.138251,5.442991,17.140698,2.574305,0.473856,0.229899
11,0.058491,2.302804,7.251834,1.089129,0.200478,0.097265
12,0.031904,1.256075,3.955546,0.594070,0.109351,0.053054
16,0.005317,0.209346,0.659258,0.099012,0.018225,0.008842
28,0.005317,0.209346,0.659258,0.099012,0.018225,0.008842
