,1,2,3,4+
1,25.000105,0.000000,0.000000,0.000000
2,372.303452,984.701480,0.000000,0.000000
3,726.033651,1920.278761,899.689199,0.000000
4,550.171377,1455.142482,681.763503,231.918726
5,261.986370,692.924992,324.649287,110.437489
6,80.103746,211.865555,99.263271,33.766858
7,28.271910,74.776078,35.034096,11.917715
8,10.554847,27.916403,13.079396,4.449280
9,2.827191,7.477608,3.503410,1.191771
10,0.188479,0.498507,0.233561,0.079451
11,0.376959,0.997014,0.467121,0.158903
12,0.188479,0.498507,0.233561,0.079451
15,0.188479,0.498507,0.233561,0.079451
44,0.188479,0.498507,0.233561,0.079451
