,1,2,3,4,5,6+
1,7.999950,0.000000,0.000000,0.000000,0.000000,0.000000
2,1.265305,29.734686,0.000000,0.000000,0.000000,0.000000
3,0.429990,10.104770,80.465239,0.000000,0.000000,0.000000
4,1.070997,25.168442,200.418688,298.341876,0.000000,0.000000
5,1.805900,42.438675,337.943199,503.059912,210.752323,0.000000
6,2.386351,56.079295,446.564745,664.753196,278.492237,112.724191
7,2.436799,57.264828,456.005255,678.806274,284.379645,115.107214
8,1.764157,41.457723,330.131785,491.431895,205.880872,83.333579
9,1.051768,24.716563,196.820336,292.985393,122.743535,49.682411
10,0.608435,14.298244,113.858276,169.488643,71.005708,28.740697
11,0.197206,4.634356,36.903813,54.934761,23.014413,9.315452
12,0.128414,3.017720,24.030390,35.771472,14.986129,6.065876
13,0.055034,1.293309,10.298739,15.330631,6.422627,2.599661
14,0.032103,0.754430,6.007597,8.942868,3.746532,1.516469
15,0.018345,0.431103,3.432913,5.110210,2.140876,0.866554
16,0.013759,0.323327,2.574685,3.832658,1.605657,0.649915
17,0.003057,0.071850,0.572152,0.851702,0.356813,0.144426
18,0.003057,0.071850,0.572152,0.851702,0.356813,0.144426
19,0.001529,0.035925,0.286076,0.425851,0.178406,0.072213
22,0.003057,0.071850,0.572152,0.851702,0.356813,0.144426
23,0.001529,0.035925,0.286076,0.425851,0.178406,0.072213
24,0.001529,0.035925,0.286076,0.425851,0.178406,0.072213
25,0.004586,0.107776,0.858228,1.277553,0.535219,0.216638
