,1,2,3,4+
1,22.999944,0.000000,0.000000,0.000000
2,59.531058,273.469614,0.000000,0.000000
3,122.692336,563.615486,371.693850,0.000000
4,55.180949,253.486388,167.169522,123.162276
5,37.769931,173.504873,114.423212,84.301391
6,26.807439,123.146142,81.212572,59.833426
7,14.370998,66.016488,43.536637,32.075651
8,6.909134,31.738696,20.931075,15.420986
9,2.855775,13.118661,8.651511,6.374008
10,0.736974,3.385461,2.232648,1.644905
11,0.552731,2.539096,1.674486,1.233679
12,0.184244,0.846365,0.558162,0.411226
13,0.092122,0.423183,0.279081,0.205613
14,0.092122,0.423183,0.279081,0.205613
23,0.092122,0.423183,0.279081,0.205613
44,0.092122,0.423183,0.279081,0.205613
