,1,2,3,4,5,6+
1,0.999999,0.000000,0.000000,0.000000,0.000000,0.000000
2,3.143996,54.855979,0.000000,0.000000,0.000000,0.000000
3,5.569263,97.171675,369.259075,0.000000,0.000000,0.000000
4,17.561035,306.402340,1164.350054,256.686604,0.000000,0.000000
5,24.204234,422.311896,1604.814370,353.789094,90.880408,0.000000
6,9.979837,174.126720,661.693560,145.873548,37.471612,14.854711
7,5.228899,91.233061,346.691933,76.429914,19.633115,7.783072
8,2.342012,40.863071,155.282493,34.232777,8.793625,3.486019
9,0.936805,16.345228,62.112997,13.693111,3.517450,1.394408
10,0.344132,6.004370,22.817019,5.030122,1.292125,0.512231
11,0.038237,0.667152,2.535224,0.558902,0.143569,0.056915
13,0.028678,0.500364,1.901418,0.419177,0.107677,0.042686
14,0.009559,0.166788,0.633806,0.139726,0.035892,0.014229
22,0.009559,0.166788,0.633806,0.139726,0.035892,0.014229
