,1,2,3,4,5,6+
1,7.999950,0.000000,0.000000,0.000000,0.000000,0.000000
2,1.329916,45.670071,0.000000,0.000000,0.000000,0.000000
3,0.371413,12.754515,129.874071,0.000000,0.000000,0.000000
4,0.383826,13.180788,134.214634,251.220757,0.000000,0.000000
5,0.879365,30.197883,307.492836,575.560064,128.869863,0.000000
6,1.053645,36.182770,368.434524,689.629719,154.410449,69.288908
7,1.008911,34.646580,352.792118,660.350520,147.854736,66.347150
8,0.627874,21.561529,219.552340,410.954480,92.014111,41.289675
9,0.278789,9.573758,97.485708,182.472155,40.856138,18.333456
10,0.117427,4.032500,41.061315,76.857899,17.208746,7.722115
11,0.075888,2.606037,26.536224,49.670071,11.121298,4.990482
12,0.036746,1.261871,12.849119,24.050771,5.385050,2.416444
13,0.012781,0.438912,4.469259,8.365486,1.873061,0.840502
14,0.013580,0.466344,4.748588,8.888328,1.990127,0.893034
15,0.005592,0.192024,1.955301,3.659900,0.819464,0.367720
16,0.003195,0.109728,1.117315,2.091371,0.468265,0.210126
17,0.002396,0.082296,0.837986,1.568529,0.351199,0.157594
18,0.001598,0.054864,0.558657,1.045686,0.234133,0.105063
20,0.000799,0.027432,0.279329,0.522843,0.117066,0.052531
25,0.000799,0.027432,0.279329,0.522843,0.117066,0.052531
