,1,2,3,4+
1,3.999995,0.000000,0.000000,0.000000
2,2.508514,81.491481,0.000000,0.000000
3,5.782072,187.836124,551.381804,0.000000
4,16.599772,539.259410,1582.964020,171.176801
5,24.799054,805.620875,2364.852309,255.727767
6,7.200421,233.912523,686.636341,74.250716
7,2.730698,88.709340,260.401008,28.158954
8,1.006047,32.682388,95.937213,10.374352
9,0.402419,13.072955,38.374885,4.149741
10,0.165279,5.369250,15.761114,1.704358
11,0.064674,2.101011,6.167392,0.666923
12,0.079047,2.567902,7.537924,0.815128
13,0.028744,0.933783,2.741063,0.296410
14,0.014372,0.466891,1.370532,0.148205
15,0.014372,0.466891,1.370532,0.148205
16,0.007186,0.233446,0.685266,0.074103
17,0.014372,0.466891,1.370532,0.148205
24,0.007186,0.233446,0.685266,0.074103
33,0.007186,0.233446,0.685266,0.074103
