,1,2,3,4,5,6+
1,792.667377,0.000000,0.000000,0.000000,0.000000,0.000000
2,3518.087660,3250.455259,0.000000,0.000000,0.000000,0.000000
3,2977.252728,2750.763404,281.717062,0.000000,0.000000,0.000000
4,340.173574,314.295461,32.188299,20.370101,0.000000,0.000000
5,38.622106,35.683996,3.654546,2.312749,11.341425,0.000000
6,0.000000,0.000000,0.000000,0.000000,0.000000,74.896204
7,0.000000,0.000000,0.000000,0.000000,0.000000,8.559566
8,0.000000,0.000000,0.000000,0.000000,0.000000,17.119132
9,0.000000,0.000000,0.000000,0.000000,0.000000,4.279783
10,0.000000,0.000000,0.000000,0.000000,0.000000,4.279783
12,0.000000,0.000000,0.000000,0.000000,0.000000,2.139892
14,0.000000,0.000000,0.000000,0.000000,0.000000,2.139892
