,1,2,3,4,5,6+
1,49.999820,0.000000,0.000000,0.000000,0.000000,0.000000
2,36.427203,376.572639,0.000000,0.000000,0.000000,0.000000
3,56.982885,589.070638,779.946460,0.000000,0.000000,0.000000
4,52.365384,541.336399,716.744956,275.553367,0.000000,0.000000
5,41.329238,427.248296,565.689028,217.479754,57.253795,0.000000
6,24.497101,253.243106,335.301153,128.906888,33.936072,17.115754
7,13.252530,137.000369,181.392427,69.736513,18.358858,9.259343
8,5.406044,55.885931,73.994580,28.447296,7.489045,3.777121
9,1.915284,19.799587,26.215223,10.078470,2.653262,1.338180
10,0.834075,8.622401,11.416307,4.389011,1.155453,0.582756
11,0.278025,2.874134,3.805436,1.463004,0.385151,0.194252
12,0.123567,1.277393,1.691305,0.650224,0.171178,0.086334
14,0.030892,0.319348,0.422826,0.162556,0.042795,0.021584
15,0.030892,0.319348,0.422826,0.162556,0.042795,0.021584
