,1,2,3,4+
1,3.999997,0.000000,0.000000,0.000000
2,4.895445,65.104537,0.000000,0.000000
3,7.752273,103.097508,719.150218,0.000000
4,25.242750,335.703423,2341.678235,246.375599
5,40.093945,533.209506,3719.369567,391.326994
6,10.442915,138.880358,968.751254,101.925477
7,3.389667,45.079198,314.447128,33.084007
8,0.821738,10.928290,76.229607,8.020365
9,0.154076,2.049054,14.293051,1.503819
10,0.059918,0.796855,5.558409,0.584818
11,0.017120,0.227673,1.588117,0.167091
13,0.017120,0.227673,1.588117,0.167091
16,0.008560,0.113836,0.794058,0.083545
