,1,2,3,4,5,6+
1,4.999976,0.000000,0.000000,0.000000,0.000000,0.000000
2,72.871982,621.125005,0.000000,0.000000,0.000000,0.000000
3,106.267058,905.768239,2041.964933,0.000000,0.000000,0.000000
4,148.684833,1267.316534,2857.039815,372.960196,0.000000,0.000000
5,101.462752,864.818690,1949.648225,254.508593,42.562810,0.000000
6,21.789807,185.725621,418.700048,54.657429,9.140649,13.986722
7,4.549860,38.780776,87.427425,11.412844,1.908630,2.920523
8,1.238057,10.552592,23.789775,3.105536,0.519355,0.794700
9,0.340466,2.901963,6.542188,0.854022,0.142823,0.218543
10,0.154757,1.319074,2.973722,0.388192,0.064919,0.099338
11,0.030951,0.263815,0.594744,0.077638,0.012984,0.019868
12,0.123806,1.055259,2.378978,0.310554,0.051936,0.079470
85,0.030951,0.263815,0.594744,0.077638,0.012984,0.019868
