,1,2,3,4,5,6+
1,5.999948,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.095751,61.904249,0.000000,0.000000,0.000000,0.000000
3,0.082658,53.439136,376.478210,0.000000,0.000000,0.000000
4,0.342793,221.619974,1561.310632,226.726617,0.000000,0.000000
5,0.406152,262.581847,1849.886640,268.632347,84.493035,0.000000
6,0.153854,99.468258,700.752941,101.760239,32.006687,8.858029
7,0.063793,41.242936,290.556097,42.193270,13.271065,3.672841
8,0.023494,15.189214,107.007872,15.539209,4.887553,1.352658
9,0.003426,2.215094,15.605315,2.266135,0.712768,0.197263
10,0.004079,2.637016,18.577756,2.697779,0.848534,0.234836
13,0.000163,0.105481,0.743110,0.107911,0.033941,0.009393
14,0.000163,0.105481,0.743110,0.107911,0.033941,0.009393
23,0.000163,0.105481,0.743110,0.107911,0.033941,0.009393
31,0.000163,0.105481,0.743110,0.107911,0.033941,0.009393
